Version,K,Dataset_Size,Threads_Per_Block,Avg_Iterations,Avg_Time_Sec
OpenMP-GPU,2,4810772,2,8.0,1.073417
OpenMP-GPU,2,4810772,4,8.0,1.056107
OpenMP-GPU,2,4810772,8,8.0,1.034240
OpenMP-GPU,2,4810772,16,8.0,1.039817
OpenMP-GPU,2,4810772,32,8.0,1.049610
OpenMP-GPU,2,4810772,64,8.0,1.091420
OpenMP-GPU,2,4810772,128,8.0,1.078103
OpenMP-GPU,2,4810772,256,8.0,1.081100
OpenMP-GPU,3,4810772,2,33.0,2.955257
OpenMP-GPU,3,4810772,4,33.0,2.859337
OpenMP-GPU,3,4810772,8,33.0,2.808780
OpenMP-GPU,3,4810772,16,33.0,2.823743
OpenMP-GPU,3,4810772,32,33.0,2.835600
OpenMP-GPU,3,4810772,64,33.0,2.970567
OpenMP-GPU,3,4810772,128,33.0,2.909500
OpenMP-GPU,3,4810772,256,33.0,2.899630
OpenMP-GPU,4,4810772,2,30.0,2.484173
OpenMP-GPU,4,4810772,4,30.0,2.381047
OpenMP-GPU,4,4810772,8,30.0,2.329800
OpenMP-GPU,4,4810772,16,30.0,2.310930
OpenMP-GPU,4,4810772,32,30.0,2.354127
OpenMP-GPU,4,4810772,64,30.0,2.423300
OpenMP-GPU,4,4810772,128,30.0,2.435510
OpenMP-GPU,4,4810772,256,30.0,2.397040
OpenMP-GPU,6,4810772,2,44.0,3.036147
OpenMP-GPU,6,4810772,4,44.0,2.862400
OpenMP-GPU,6,4810772,8,44.0,2.788763
OpenMP-GPU,6,4810772,16,44.0,2.785663
OpenMP-GPU,6,4810772,32,44.0,2.909247
OpenMP-GPU,6,4810772,64,44.0,2.866860
OpenMP-GPU,6,4810772,128,44.0,2.901483
OpenMP-GPU,6,4810772,256,44.0,2.858943
OpenMP-GPU,7,4810772,2,73.0,4.842000
OpenMP-GPU,7,4810772,4,73.0,4.542343
OpenMP-GPU,7,4810772,8,73.0,4.450427
OpenMP-GPU,7,4810772,16,73.0,4.526693
OpenMP-GPU,7,4810772,32,73.0,4.618740
OpenMP-GPU,7,4810772,64,73.0,4.641143
OpenMP-GPU,7,4810772,128,73.0,4.638033
OpenMP-GPU,7,4810772,256,73.0,4.657370
OpenMP-GPU,9,4810772,2,52.0,3.613910
OpenMP-GPU,9,4810772,4,52.0,3.334493
OpenMP-GPU,9,4810772,8,52.0,3.219043
OpenMP-GPU,9,4810772,16,52.0,3.262137
OpenMP-GPU,9,4810772,32,52.0,3.335467
OpenMP-GPU,9,4810772,64,52.0,3.354350
OpenMP-GPU,9,4810772,128,52.0,3.349953
OpenMP-GPU,9,4810772,256,52.0,3.340810
OpenMP-GPU,11,4810772,2,35.0,2.439250
OpenMP-GPU,11,4810772,4,35.0,2.223910
OpenMP-GPU,11,4810772,8,35.0,2.124573
OpenMP-GPU,11,4810772,16,35.0,2.163770
OpenMP-GPU,11,4810772,32,35.0,2.193440
OpenMP-GPU,11,4810772,64,35.0,2.229757
OpenMP-GPU,11,4810772,128,35.0,2.203073
OpenMP-GPU,11,4810772,256,35.0,2.212273
OpenMP-GPU,13,4810772,2,77.0,4.742997
OpenMP-GPU,13,4810772,4,77.0,4.234447
OpenMP-GPU,13,4810772,8,77.0,3.949830
OpenMP-GPU,13,4810772,16,77.0,3.970277
OpenMP-GPU,13,4810772,32,77.0,4.047123
OpenMP-GPU,13,4810772,64,77.0,4.097740
OpenMP-GPU,13,4810772,128,77.0,4.078477
OpenMP-GPU,13,4810772,256,77.0,4.070553
